"ProductName","Location","Sublocation","Serial","Quantity"
"Birthstone glue in- July","Moonglow HQ","","","108.00000"
"Birthstone glue in- June","Moonglow HQ","","","150.00000"
"Birthstone glue in- March","Moonglow HQ","","","150.00000"
"Birthstone glue in- May","Moonglow HQ","","","98.00000"
"Birthstone glue in- November","Moonglow HQ","","","134.00000"
"Birthstone glue in- October","Moonglow HQ","","","113.00000"
"Birthstone glue in- September","Moonglow HQ","","","119.00000"
"Birthstone Satellite necklace in silver- April","Moonglow HQ","","","40.00000"
"Birthstone Satellite necklace in silver- August","Moonglow HQ","","","37.00000"
"Birthstone Satellite necklace in silver- December","Moonglow HQ","","","21.00000"
"Birthstone Satellite necklace in silver- February","Moonglow HQ","","","20.00000"
"Birthstone Satellite necklace in silver- January","Moonglow HQ","","","31.00000"
"Birthstone Satellite necklace in silver- July","Moonglow HQ","","","24.00000"
"Birthstone Satellite necklace in silver- June","Moonglow HQ","","","21.00000"
"Birthstone Satellite necklace in silver- March","Moonglow HQ","","","19.00000"
"Birthstone Satellite necklace in silver- May","Moonglow HQ","","","20.00000"
"Birthstone Satellite necklace in silver- November","Moonglow HQ","","","35.00000"
"Birthstone Satellite necklace in silver- October","Moonglow HQ","","","47.00000"
"Birthstone Satellite necklace in silver- September","Moonglow HQ","","","20.00000"
"Black Cat on the Moon - Pendant Only","Coolum","","","-1.00000"
"Black cat on the moon pewter pendant","Coolum","","","5.00000"
"Black cat on the moon pewter pendant","Eumundi","","","4.00000"
"Black cat on the moon pewter pendant","Moonglow HQ","","","4.00000"
"Black cat on the moon pewter pendant","Queen Vic","","","5.00000"
"Black jump loop","Coolum","","","-3.00000"
"Blaze chains on meteor were sold for $95 each so this is for the difference","Travel","","","-1.00000"
"Blu beaded bracelet with turtle charm instead of reg charm","Travel","","","-1.00000"
"Bookmark","Moonglow HQ","","","10.00000"
"BR10-010-RGP-4","Moonglow HQ","","","4.00000"
"Bracelet display","Coolum","","","1.00000"
"Bracelet display","Eumundi","BRA-DISPLAY","","1.00000"
"Bracelet display","Fremantle","","","2.00000"
"Bracelet display","Queen Vic","","","1.00000"
"Calendar","Coolum","","","3.00000"
"Calendar","Eumundi","CALENDAR","","2.00000"
"Calendar","Fremantle","","","3.00000"
"Calendar","New Zealand","","","2.00000"
"Calendar","Queen Vic","","","3.00000"
"Calm & Glow Beaded Bracelet","Eumundi","","","4.00000"
"Calm & Glow Beaded Bracelet","Moonglow HQ","","","5.00000"
"Calm & Glow Beaded Bracelet","Travel 2-Melbourne Show","","","1.00000"
"Calm & Glow Bracelet","Moonglow HQ","","","1.00000"
"Card - Birthday","Moonglow HQ","","","-2.00000"
"Carina hoop earrings in yellow gold","Eumundi","","","6.00000"
"Carina ring","New Zealand","","","-1.00000"
"Carina Twist Adjustable ring Gold","Coolum","","","1.00000"
"Carina Twist Adjustable Ring Silver","Coolum","","","1.00000"
"Carina Twist Bracelet Forever Connected Bundle","Moonglow HQ","","","-1.00000"
"Carina Twist Bracelet in Black Matte","Fremantle","","","3.00000"
"Carina Twist Bracelet in Black Matte","Moonglow HQ","","","3.00000"
"Carina Twist Bracelet in Black Matte","New Zealand","","","1.00000"
"Carina Twist Bracelet in Black Matte","Queen Vic","","","5.00000"
"Carina Twist Bracelet in Black Matte","Travel","","","2.00000"
"Carina Twist Bracelet in Gold","Coolum","","","-2.00000"
"Carina Twist Bracelet in Gold","Eumundi","","","11.00000"
"Carina Twist Bracelet in Gold","Fremantle","","","12.00000"
"Carina Twist Bracelet in Gold","Moonglow HQ","","","5.00000"
"Carina Twist Bracelet in Gold","New Zealand","","","4.00000"
